Movie_Name,Rating,Voting_Counts,Genre,Duration
Nosferatu,7.2,212000,Horror,2–3 hrs
Heretic,7.0,164000,Horror,< 2 hrs
The Substance,7.2,320000,Horror,2–3 hrs
Please Don't Feed the Children,4.9,343,Horror,< 2 hrs
Presence,6.1,30000,Horror,< 2 hrs
Speak No Evil,6.8,111000,Horror,< 2 hrs
Alien: Romulus,7.1,255000,Horror,< 2 hrs
Longlegs,6.6,194000,Horror,< 2 hrs
Kinds of Kindness,6.5,61000,Horror,2–3 hrs
Beetlejuice Beetlejuice,6.6,155000,Horror,< 2 hrs
Salem's Lot,5.6,35000,Horror,< 2 hrs
Smile 2,6.7,115000,Horror,2–3 hrs
Trap,5.8,146000,Horror,< 2 hrs
I Don't Understand You,5.5,713,Horror,< 2 hrs
Abigail,6.5,101000,Horror,< 2 hrs
MaXXXine,6.2,74000,Horror,< 2 hrs
A Quiet Place: Day One,6.3,155000,Horror,< 2 hrs
The Shrouds,5.8,3900,Horror,3–4 hrs
Oddity,6.7,47000,Horror,< 2 hrs
Terrifier 3,6.3,52000,Horror,2–3 hrs
The Strangers: Chapter 1,4.6,23000,Horror,< 2 hrs
Don't Move,5.8,41000,Horror,< 2 hrs
The Crow,4.7,37000,Horror,< 2 hrs
Witchboard,7.5,113,Horror,< 2 hrs
Cuckoo,5.7,29000,Horror,< 2 hrs
The Rule of Jenny Pen,6.2,6100,Horror,< 2 hrs
Immaculate,5.8,54000,Horror,< 2 hrs
The Watchers,5.7,59000,Horror,< 2 hrs
Time Cut,5.0,20000,Horror,< 2 hrs
MadS,6.4,8900,Horror,< 2 hrs
The Damned,5.7,5700,Horror,< 2 hrs
1978,5.2,582,Horror,< 2 hrs
Survive,4.6,3200,Horror,< 2 hrs
Monster Island,6.1,94,Horror,< 2 hrs
Nightbitch,5.5,21000,Horror,< 2 hrs
Saint Clare,7.1,116,Horror,< 2 hrs
Arcadian,5.5,25000,Horror,< 2 hrs
Apartment 7A,5.9,17000,Horror,< 2 hrs
Night Swim,4.7,28000,Horror,< 2 hrs
Never Let Go,5.4,16000,Horror,< 2 hrs
Strange Harvest,6.8,78,Horror,< 2 hrs
Y2K,4.8,16000,Horror,< 2 hrs
Exhuma,6.9,25000,Horror,2–3 hrs
The First Omen,6.5,66000,Horror,< 2 hrs
Apocalypse Z: The Beginning of the End,6.1,21000,Horror,< 2 hrs
Outbreak,4.4,1200,Horror,< 2 hrs
Bone Lake,6.15,0,Horror,< 2 hrs
Azrael,5.4,12000,Horror,< 2 hrs
The Deliverance,5.1,23000,Horror,< 2 hrs
Dead Mail,6.0,2100,Horror,< 2 hrs
Get Away,5.3,7600,Horror,< 2 hrs
Your Monster,6.4,6400,Horror,< 2 hrs
Under Paris,5.2,37000,Horror,< 2 hrs
Out Come the Wolves,4.7,1700,Horror,< 2 hrs
In a Violent Nature,5.6,28000,Horror,< 2 hrs
Tarot,4.8,33000,Horror,< 2 hrs
Stree 2: Sarkate Ka Aatank,6.9,43000,Horror,2–3 hrs
The Devil's Bath,6.6,6800,Horror,2–3 hrs
Frewaka,6.1,1500,Horror,< 2 hrs
Beezel,4.9,1500,Horror,< 2 hrs
Hellboy: The Crooked Man,4.5,15000,Horror,< 2 hrs
A Desert,5.9,352,Horror,< 2 hrs
Chime,6.4,2700,Horror,3–4 hrs
Sting,5.7,17000,Horror,< 2 hrs
Lisa Frankenstein,6.1,29000,Horror,< 2 hrs
Ghost Killer,6.8,87,Horror,< 2 hrs
Die Alone,5.8,4000,Horror,< 2 hrs
Rumours,4.9,5200,Horror,< 2 hrs
The Beldham,7.0,48,Horror,< 2 hrs
The Wailing,6.1,1700,Horror,< 2 hrs
The Platform 2,4.9,41000,Horror,< 2 hrs
Succubus,4.6,1400,Horror,< 2 hrs
Lowlifes,6.2,6800,Horror,< 2 hrs
The Beast Within,4.3,5300,Horror,< 2 hrs
Grafted,5.6,2600,Horror,< 2 hrs
A Sacrifice,5.0,5800,Horror,< 2 hrs
The Master and Margarita,7.2,5000,Horror,2–3 hrs
Swap,2.9,371,Horror,< 2 hrs
Blood Star,6.4,6200,Horror,< 2 hrs
Werewolves,4.4,7600,Horror,< 2 hrs
The Balconettes,5.8,1400,Horror,< 2 hrs
Afraid,5.2,15000,Horror,< 2 hrs
The Twin,8.1,68,Horror,< 2 hrs
The Banished,5.6,29,Horror,< 2 hrs
Dan Da Dan: First Encounter,8.2,3000,Horror,< 2 hrs
Shaitaan,6.5,55000,Horror,2–3 hrs
The Exorcism,4.2,12000,Horror,< 2 hrs
Humane,5.5,7600,Horror,< 2 hrs
Bogieville,4.1,639,Horror,< 2 hrs
Ick,5.5,221,Horror,< 2 hrs
Bhool Bhulaiyaa 3,4.6,78000,Horror,2–3 hrs
V/H/S/Beyond,5.8,9900,Horror,< 2 hrs
Push,6.15,0,Horror,< 2 hrs
Bramayugam,7.8,15000,Horror,2–3 hrs
Daddy's Head,5.6,5500,Horror,< 2 hrs
Outside,5.1,4800,Horror,2–3 hrs
Shell,6.8,78,Horror,< 2 hrs
Bagman,4.7,6300,Horror,< 2 hrs
Queen of Bones,4.7,265,Horror,< 2 hrs
Bleeding,4.3,353,Horror,< 2 hrs
The Severed Sun,4.9,349,Horror,< 2 hrs
Went Up the Hill,6.6,88,Horror,< 2 hrs
Here After,4.2,1700,Horror,< 2 hrs
Blackwater Lane,4.6,2300,Horror,< 2 hrs
Dead Talents Society,7.0,2600,Horror,< 2 hrs
Compulsion,6.9,32,Horror,3–4 hrs
Sumala,5.8,1200,Horror,< 2 hrs
The Last Breath,4.7,2500,Horror,< 2 hrs
Munjya,6.3,26000,Horror,2–3 hrs
The Inheritance,4.7,3100,Horror,< 2 hrs
We Bury the Dead,6.9,123,Horror,< 2 hrs
Winnie-the-Pooh: Blood and Honey 2,4.7,12000,Horror,< 2 hrs
The Curse of the Necklace,4.5,1400,Horror,< 2 hrs
The Corpse Washer,6.1,1300,Horror,< 2 hrs
The Painted,4.8,1100,Horror,< 2 hrs
Hold Your Breath,5.3,8900,Horror,< 2 hrs
You Can't Run Forever,4.5,4400,Horror,< 2 hrs
The Front Room,4.6,5700,Horror,< 2 hrs
Turno Nocturno,5.3,687,Horror,< 2 hrs
Cloud,6.3,1600,Horror,2–3 hrs
Something in the Water,4.1,5000,Horror,< 2 hrs
Grave Torture,6.2,3100,Horror,< 2 hrs
Kryptic,4.1,618,Horror,< 2 hrs
Shelby Oaks,5.8,259,Horror,< 2 hrs
Things Will Be Different,5.2,2800,Horror,< 2 hrs
Drive Back,4.5,650,Horror,< 2 hrs
Sayuri,6.4,342,Horror,< 2 hrs
The Vampire Next Door,4.6,795,Horror,< 2 hrs
Lembayung,5.9,780,Horror,2–3 hrs
Pedro Páramo,6.3,3100,Horror,2–3 hrs
Wynonna Earp: Vengeance,5.5,1700,Horror,< 2 hrs
Year 10,5.4,2000,Horror,< 2 hrs
Handling the Undead,5.3,4600,Horror,< 2 hrs
The Radleys,5.0,2900,Horror,< 2 hrs
The Matriarch,6.4,23,Horror,< 2 hrs
Death's Sonata,8.4,464,Horror,< 2 hrs
Imaginary,4.7,18000,Horror,< 2 hrs
Noise,6.3,87,Horror,< 2 hrs
River of Blood,5.0,2000,Horror,< 2 hrs
Latency,4.2,2900,Horror,< 2 hrs
Milk & Serial,6.6,2700,Horror,< 2 hrs
Black,7.1,2900,Horror,< 2 hrs
Stream,5.9,9500,Horror,2–3 hrs
Ghost Train,6.15,0,Horror,< 2 hrs
The Haunted Apartment: Miss K,5.6,484,Horror,< 2 hrs
The Forbidden Camp: Mass Possession,6.1,370,Horror,< 2 hrs
Bystanders,3.9,373,Horror,< 2 hrs
Devon,2.6,307,Horror,< 2 hrs
The Moogai,5.4,393,Horror,< 2 hrs
Night of the Zoopocalypse,6.1,940,Horror,< 2 hrs
Rippy,4.2,978,Horror,< 2 hrs
The Killgrin,6.2,79,Horror,< 2 hrs
Pins & Needles,6.7,23,Horror,< 2 hrs
Carved,4.4,2900,Horror,< 2 hrs
Destroy All Neighbors,5.3,2100,Horror,< 2 hrs
House of Spoils,5.0,4000,Horror,< 2 hrs
Test Screening,6.9,68,Horror,< 2 hrs
Bureau 749,3.9,582,Horror,2–3 hrs
Krazy House,4.8,1500,Horror,< 2 hrs
Room Service,3.9,323,Horror,3–4 hrs
The Mouse Trap,2.5,3600,Horror,< 2 hrs
The Waves of Madness,5.8,112,Horror,< 2 hrs
The Dead Thing,4.7,1000,Horror,< 2 hrs
Munkar,5.2,557,Horror,< 2 hrs
The Containment,4.6,59,Horror,< 2 hrs
Handsome Guys,6.5,975,Horror,< 2 hrs
Dominion of Darkness,5.6,858,Horror,< 2 hrs
Spin the Bottle,3.5,1100,Horror,2–3 hrs
Jimmy and Stiggs,6.1,83,Horror,< 2 hrs
Fear Cabin: The Last Weekend of Summer,3.2,10,Horror,< 2 hrs
Slay,6.5,1200,Horror,< 2 hrs
Peripheral,9.4,32,Horror,< 2 hrs
Baby Invasion,4.6,587,Horror,< 2 hrs
H. P. Lovecraft's the Old Ones,3.6,412,Horror,< 2 hrs
Sunrise,3.9,1200,Horror,< 2 hrs
Mr. Crocket,5.4,4900,Horror,< 2 hrs
Iconic,6.9,428,Horror,< 2 hrs
Conjuring the Cult,4.6,935,Horror,< 2 hrs
Possessions,3.8,880,Horror,< 2 hrs
Its Name Was Mormo,3.7,155,Horror,< 2 hrs
Anaconda,4.9,673,Horror,< 2 hrs
Scopophobia,5.4,85,Horror,< 2 hrs
Spiders on a Plane,4.7,400,Horror,< 2 hrs
The Soul Eater,5.8,3000,Horror,< 2 hrs
The Jack in the Box Rises,4.1,831,Horror,< 2 hrs
Strange Frequencies: Taiwan Killer Hospital,7.3,74,Horror,< 2 hrs
Dark Match,5.4,1200,Horror,< 2 hrs
Continente,5.2,94,Horror,< 2 hrs
Ghost Game,3.4,365,Horror,< 2 hrs
Riders,6.4,511,Horror,< 2 hrs
Crescent City,3.9,1500,Horror,< 2 hrs
The Bunker,4.3,357,Horror,< 2 hrs
Unspeakable: Beyond the Wall of Sleep,4.9,124,Horror,< 2 hrs
Up the Catalogue,8.8,5,Horror,3–4 hrs
Chainsaws Were Singing,7.2,386,Horror,< 2 hrs
Heretics,3.9,98,Horror,< 2 hrs
Interlopers,5.0,73,Horror,< 2 hrs
Saint Catherine,3.5,250,Horror,< 2 hrs
Solvent,7.1,454,Horror,< 2 hrs
Cinderella's Curse,3.4,1400,Horror,< 2 hrs
Chain Reactions,7.1,111,Horror,< 2 hrs
Hell Hole,4.5,1300,Horror,< 2 hrs
X Files,2.3,68,Horror,< 2 hrs
Little Bites,4.7,1300,Horror,< 2 hrs
Barda,4.6,663,Horror,< 2 hrs
Dr. Sander's Sleep Cure,6.4,1000,Horror,< 2 hrs
Street Trash,4.5,953,Horror,< 2 hrs
Kuang Bao Ju Xi,5.6,86,Horror,< 2 hrs
Frankie Freako,5.6,1300,Horror,< 2 hrs
The Ceremony Is About to Begin,4.5,821,Horror,< 2 hrs
The North Witch,4.9,50,Horror,< 2 hrs
Terminator: Skynet Rising,6.7,283,Horror,< 2 hrs
Tantra,5.0,2400,Horror,2–3 hrs
Butchers Book Two: Raghorn,4.1,666,Horror,< 2 hrs
The Woods,4.0,68,Horror,< 2 hrs
Crackcoon,3.6,451,Horror,< 2 hrs
Mononoke the Movie: The Phantom in the Rain,6.7,1400,Horror,< 2 hrs
Scurry,7.6,26,Horror,< 2 hrs
I Heart Willie,6.1,117,Horror,< 2 hrs
Granny,8.0,7,Horror,3–4 hrs
The Demon Disorder,4.8,1300,Horror,< 2 hrs
Trope,4.1,35,Horror,< 2 hrs
People in the Walls,3.2,48,Horror,< 2 hrs
Grotesque 2,6.1,599,Horror,3–4 hrs
Dirty Boy,7.8,35,Horror,< 2 hrs
Goldilocks and the Three Bears: Death and Porridge,2.1,1900,Horror,< 2 hrs
The Ruse,7.4,422,Horror,< 2 hrs
Sengkolo: Malam satu suro,5.8,62,Horror,< 2 hrs
Invasive,5.6,801,Horror,< 2 hrs
Sakaratul Maut,5.4,189,Horror,< 2 hrs
Else,6.0,276,Horror,< 2 hrs
Lumina,2.1,709,Horror,< 2 hrs
Hunting Matthew Nichols,8.8,45,Horror,< 2 hrs
Heresy,6.9,316,Horror,< 2 hrs
History of Evil,3.4,833,Horror,< 2 hrs
Cadi,6.3,4400,Horror,2–3 hrs
Stupid Games,4.2,428,Horror,< 2 hrs
Where is My Head?,6.8,84,Horror,< 2 hrs
The Mermaid,9.6,15,Horror,< 2 hrs
Kang Mak,6.4,893,Horror,2–3 hrs
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9,157,Horror,3–4 hrs
Massacre at Femur Creek,6.6,571,Horror,< 2 hrs
Curse of the Sin Eater,4.9,804,Horror,< 2 hrs
An Intruder Among Us,9.4,20,Horror,3–4 hrs
All Hallows' Eve: Inferno,4.3,133,Horror,< 2 hrs
Sea of Madness,6.9,30,Horror,< 2 hrs
Bigfoot Exorcist,2.7,226,Horror,< 2 hrs
Broken Bird,5.7,127,Horror,< 2 hrs
Demonte Colony 2,6.6,4600,Horror,2–3 hrs
Gladiator II,6.5,255000,Action,2–3 hrs
Dune: Part Two,8.5,645000,Action,2–3 hrs
Fight or Flight,6.4,15000,Action,< 2 hrs
Twisters,6.5,176000,Action,2–3 hrs
Kraven the Hunter,5.5,64000,Action,2–3 hrs
Deadpool & Wolverine,7.5,509000,Action,2–3 hrs
The Ministry of Ungentlemanly Warfare,6.8,140000,Action,2–3 hrs
Sonic the Hedgehog 3,6.9,66000,Action,< 2 hrs
Carry-On,6.5,173000,Action,< 2 hrs
Civil War,7.0,244000,Action,< 2 hrs
The Beekeeper,6.3,163000,Action,< 2 hrs
Venom: The Last Dance,6.0,131000,Action,< 2 hrs
Furiosa: A Mad Max Saga,7.5,292000,Action,2–3 hrs
Land of Bad,6.6,53000,Action,< 2 hrs
The Fall Guy,6.8,228000,Action,2–3 hrs
The Count of Monte-Cristo,7.6,38000,Action,2–3 hrs
Road House,6.2,171000,Action,2–3 hrs
Rebel Ridge,6.8,91000,Action,2–3 hrs
Role Play,5.5,19000,Action,< 2 hrs
Argylle,5.6,94000,Action,2–3 hrs
40 Acres,6.9,448,Action,< 2 hrs
Borderlands,4.7,51000,Action,< 2 hrs
Transformers One,7.6,55000,Action,< 2 hrs
Freaky Tales,6.2,7500,Action,< 2 hrs
The Unholy Trinity,6.0,559,Action,< 2 hrs
The Killer,5.7,14000,Action,2–3 hrs
Damsel,6.1,112000,Action,< 2 hrs
Madame Web,4.1,104000,Action,< 2 hrs
William Tell,5.7,3200,Action,2–3 hrs
The Union,5.4,54000,Action,< 2 hrs
Bad Boys: Ride or Die,6.5,103000,Action,< 2 hrs
Dirty Angels,4.4,4200,Action,< 2 hrs
Kingdom of the Planet of the Apes,6.8,155000,Action,2–3 hrs
Maharaja,8.4,71000,Action,2–3 hrs
Godzilla x Kong: The New Empire,6.0,124000,Action,< 2 hrs
Homestead,5.2,4200,Action,< 2 hrs
Absolution,5.2,9000,Action,< 2 hrs
Monkey Man,6.8,94000,Action,2–3 hrs
Red One,6.3,143000,Action,2–3 hrs
The Instigators,6.2,39000,Action,< 2 hrs
The Lord of the Rings: The War of the Rohirrim,6.3,33000,Action,2–3 hrs
Old Guy,5.2,3200,Action,< 2 hrs
Kung Fu Panda 4,6.3,71000,Action,< 2 hrs
Drive-Away Dolls,5.4,24000,Action,< 2 hrs
Elevation,5.6,24000,Action,< 2 hrs
The Killer's Game,5.8,18000,Action,< 2 hrs
Lift,5.5,50000,Action,< 2 hrs
Take Cover,5.1,2900,Action,< 2 hrs
Thelma,7.0,24000,Action,< 2 hrs
Attack on Titan the Movie: The Last Attack,9.1,18000,Action,2–3 hrs
Beverly Hills Cop: Axel F,6.4,83000,Action,< 2 hrs
Relay,7.4,137,Action,< 2 hrs
Blitz,6.2,17000,Action,3–4 hrs
Uglies,4.7,34000,Action,< 2 hrs
Atlas,5.6,57000,Action,< 2 hrs
Gunner,3.2,2900,Action,< 2 hrs
Pushpa: The Rule - Part 2,6.1,59000,Action,3–4 hrs
The Prosecutor,6.6,2700,Action,< 2 hrs
Canary Black,5.4,12000,Action,< 2 hrs
Solo Leveling: ReAwakening,8.8,14000,Action,2–3 hrs
Brothers,5.4,14000,Action,< 2 hrs
Marco,6.7,23000,Action,2–3 hrs
The Fix,4.7,1600,Action,< 2 hrs
Jackpot!,5.8,31000,Action,< 2 hrs
Trigger Warning,4.6,20000,Action,< 2 hrs
Kalki 2898 AD,7.0,68000,Action,3–4 hrs
The Silent Hour,6.1,8400,Action,< 2 hrs
Night Call,6.7,2500,Action,< 2 hrs
Rebel Moon - Part Two: The Scargiver,5.3,60000,Action,2–3 hrs
The Shadow Strays,6.5,9700,Action,2–3 hrs
11 Rebels,6.3,723,Action,2–3 hrs
Karma,7.9,1500,Action,2–3 hrs
Boneyard,4.1,5200,Action,< 2 hrs
Uprising,6.6,6000,Action,2–3 hrs
Elyas,6.1,1600,Action,< 2 hrs
Fighter,6.2,53000,Action,2–3 hrs
Aavesham,7.8,29000,Action,2–3 hrs
Devara Part 1,6.0,21000,Action,2–3 hrs
Amaran,8.1,20000,Action,2–3 hrs
Weekend in Taipei,5.7,5400,Action,< 2 hrs
Twilight of the Warriors: Walled In,6.9,10000,Action,2–3 hrs
Descendants: The Rise of Red,4.7,7300,Action,< 2 hrs
Aftermath,5.1,4400,Action,< 2 hrs
Red Right Hand,5.5,6100,Action,< 2 hrs
Baby John,5.1,17000,Action,2–3 hrs
Ultraman: Rising,6.9,6700,Action,< 2 hrs
Watchmen: Chapter I,7.1,7000,Action,< 2 hrs
Escape from the 21st Century,6.4,1000,Action,< 2 hrs
I Am What I Am 2,7.5,385,Action,2–3 hrs
My Spy: The Eternal City,5.7,11000,Action,< 2 hrs
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,Action,< 2 hrs
Saripodhaa Sanivaaram,7.0,10000,Action,2–3 hrs
The Quiet Ones,6.1,1100,Action,< 2 hrs
Justice League: Crisis on Infinite Earths - Part One,6.2,8800,Action,< 2 hrs
Cash Out,4.8,3200,Action,< 2 hrs
Justice League: Crisis on Infinite Earths - Part Three,6.0,4800,Action,< 2 hrs
The Family Star,5.4,5600,Action,2–3 hrs
Stand Your Ground,4.7,245,Action,< 2 hrs
Damaged,4.7,7600,Action,< 2 hrs
Singham Again,4.6,75000,Action,2–3 hrs
Chief of Station,4.7,4800,Action,< 2 hrs
Utopia,3.7,435,Action,< 2 hrs
Paradox Effect,5.9,9600,Action,< 2 hrs
Badland Hunters,5.9,13000,Action,< 2 hrs
Code 8: Part II,5.7,16000,Action,< 2 hrs
Armor,3.6,4600,Action,< 2 hrs
Officer Black Belt,6.9,8800,Action,< 2 hrs
Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,Action,< 2 hrs
Chandu Champion,7.8,35000,Action,2–3 hrs
Revolver,5.4,926,Action,< 2 hrs
Duchess,4.6,1600,Action,< 2 hrs
My Hero Academia: You're Next,6.9,2600,Action,< 2 hrs
Watchmen: Chapter II,7.1,3500,Action,< 2 hrs
Agni,7.2,15000,Action,2–3 hrs
Striking Rescue,5.6,699,Action,< 2 hrs
Thangalaan,6.5,6800,Action,2–3 hrs
The Thundermans Return,5.0,1900,Action,< 2 hrs
Alien: Rubicon,2.5,464,Action,< 2 hrs
Cells at Work!,6.7,918,Action,< 2 hrs
A.R.M,7.1,9000,Action,2–3 hrs
Matka,4.7,608,Action,2–3 hrs
The Twisters,2.6,429,Action,< 2 hrs
Long Gone Heroes,5.1,1300,Action,< 2 hrs
Dominique,5.3,2400,Action,< 2 hrs
Prey,3.7,3500,Action,< 2 hrs
Sasan,8.8,90,Action,2–3 hrs
Agent Recon,2.4,756,Action,< 2 hrs
Life After Fighting,6.4,2200,Action,2–3 hrs
No Way Up,4.6,11000,Action,< 2 hrs
Trouble,6.2,7200,Action,< 2 hrs
Vedaa,6.0,4500,Action,2–3 hrs
The Courier,6.0,4600,Action,< 2 hrs
Toofan,7.3,8700,Action,2–3 hrs
One Fast Move,5.0,2300,Action,< 2 hrs
Everybody Loves Jenifa,8.3,98,Action,2–3 hrs
Baby Assassins: Nice Days,7.2,356,Action,< 2 hrs
Bougainvillea,6.4,3400,Action,2–3 hrs
Classified,3.7,2800,Action,< 2 hrs
The Roundup: Punishment,6.6,5700,Action,< 2 hrs
Bagheera,6.7,7600,Action,2–3 hrs
Hitpig,5.1,1100,Action,< 2 hrs
The Last Front,5.5,640,Action,< 2 hrs
The Greatest of All Time,5.7,23000,Action,3–4 hrs
Guntur Kaaram,5.4,25000,Action,2–3 hrs
One More Shot,5.4,3800,Action,< 2 hrs
Hagen,6.1,1400,Action,2–3 hrs
Big City Greens the Movie: Spacecation,6.2,587,Action,< 2 hrs
Pani,6.9,3400,Action,2–3 hrs
Kill Em All 2,4.1,1400,Action,< 2 hrs
Raayan,6.5,11000,Action,2–3 hrs
Harbin,6.2,985,Action,< 2 hrs
Sikandar Ka Muqaddar,5.9,25000,Action,2–3 hrs
Kanguva,4.5,15000,Action,2–3 hrs
Invasion,4.8,755,Action,< 2 hrs
The Price of Money: A Largo Winch Adventure,5.1,1300,Action,< 2 hrs
Martin,2.2,36000,Action,2–3 hrs
Despatch,4.4,4500,Action,2–3 hrs
Uch Qahramon,7.3,105,Action,3–4 hrs
Escape,6.4,2200,Action,< 2 hrs
Levels,5.0,1600,Action,< 2 hrs
The Clean Up Crew,4.2,1300,Action,< 2 hrs
Khadaan,7.0,2200,Action,2–3 hrs
Shark Warning,3.5,376,Action,< 2 hrs
Viduthalai Part 2,7.8,17000,Action,2–3 hrs
Por,5.1,627,Action,2–3 hrs
Rifle Club,7.0,4600,Action,< 2 hrs
Gandhi 3,5.7,247,Action,2–3 hrs
Shoutai,6.8,709,Action,3–4 hrs
Devil's Knight,5.3,966,Action,< 2 hrs
Hounds of War,4.5,2000,Action,< 2 hrs
Overlord: The Sacred Kingdom,6.9,1500,Action,2–3 hrs
Mafia Wars,3.6,289,Action,< 2 hrs
Article 370,7.8,25000,Action,2–3 hrs
Bachhala Malli,8.2,4000,Action,2–3 hrs
In the Fire of War,7.1,209,Action,< 2 hrs
Je Jatt Vigarh Gya,5.6,836,Action,2–3 hrs
DNA,5.1,218,Action,2–3 hrs
Bidurbhai,9.1,413,Action,2–3 hrs
Rats!,6.5,207,Action,< 2 hrs
Megamind vs. The Doom Syndicate,2.5,5700,Action,< 2 hrs
Darkness of Man,4.7,3300,Action,< 2 hrs
Lights Out,4.9,1900,Action,< 2 hrs
Eye for an Eye 2,6.6,554,Action,< 2 hrs
Fighting the Fire,8.2,1700,Action,< 2 hrs
Air Force One Down,4.4,3000,Action,< 2 hrs
Uninvited,5.6,341,Action,< 2 hrs
Peter Five Eight,3.5,1100,Action,< 2 hrs
Sons of Rizk 3,6.6,1800,Action,2–3 hrs
Bade Miyan Chote Miyan,3.8,39000,Action,2–3 hrs
City Hunter,6.3,5800,Action,< 2 hrs
Yodha,5.7,9000,Action,2–3 hrs
Where Is Gilgamesh?,8.9,640,Action,< 2 hrs
The Waiter,8.2,30,Action,3–4 hrs
The Tiger's Apprentice,5.8,2300,Action,< 2 hrs
Murder Company,3.6,1600,Action,< 2 hrs
The Wages of Fear,4.6,4200,Action,< 2 hrs
S.T.A.L.K.E.R.: Shadow of the Zone,4.8,643,Action,< 2 hrs
Golden Kamuy,6.3,2700,Action,2–3 hrs
Kallu Compound 1995,7.9,2000,Action,2–3 hrs
How to Rob a Bank,6.6,4300,Action,< 2 hrs
Yudhra,4.9,13000,Action,2–3 hrs
Continental Split,3.5,571,Action,< 2 hrs
The Ballad of Davy Crockett,4.6,265,Action,< 2 hrs
The Last Kumite,4.6,2400,Action,< 2 hrs
Sunray: Fallen Soldier,4.3,706,Action,< 2 hrs
Hanu Man,7.7,29000,Action,2–3 hrs
A Legend,4.7,1000,Action,2–3 hrs
War of the Worlds: Extinction,3.0,218,Action,< 2 hrs
Mobile Suit Gundam SEED Freedom,6.6,984,Action,2–3 hrs
Snow White and the Seven Samurai,3.2,315,Action,< 2 hrs
Panda Plan,5.1,1500,Action,< 2 hrs
24 Hours to D-Day,3.5,85,Action,< 2 hrs
Troubleshooters,6.4,436,Action,< 2 hrs
Jigra,6.0,24000,Action,2–3 hrs
Kizumonogatari: Koyomi Vamp,7.0,111,Action,2–3 hrs
Black Heat,8.2,137,Action,< 2 hrs
Crisis Negotiators,6.7,751,Action,3–4 hrs
Sikaar,8.3,688,Action,2–3 hrs
Hunt the Wicked,5.4,179,Action,< 2 hrs
Die Hart 2: Die Harter,4.3,5600,Action,< 2 hrs
Shekko,5.9,616,Action,3–4 hrs
Vettaiyan,6.9,40000,Action,2–3 hrs
Vanvaas,6.6,1500,Action,2–3 hrs
"I, the Executioner",6.3,2000,Action,< 2 hrs
Anora,7.5,206000,Comedy,2–3 hrs
Friendship,7.0,13000,Comedy,< 2 hrs
F*** Marry Kill,5.3,3100,Comedy,< 2 hrs
A Real Pain,7.1,106000,Comedy,< 2 hrs
Moana 2,6.5,110000,Comedy,< 2 hrs
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6000,Comedy,< 2 hrs
Sister Midnight,5.9,1100,Comedy,< 2 hrs
The Idea of You,6.3,75000,Comedy,< 2 hrs
Challengers,7.0,159000,Comedy,2–3 hrs
Inside Out 2,7.5,223000,Comedy,< 2 hrs
